Timestamp,FlowID,Forward Packets,Forward Bytes,Forward Packets Delta,Forward Bytes Delta,Backward Packets,Backward Bytes,Backward Packets Delta,Backward Bytes Delta,Forward IAT,Backward IAT
1618999770,-4962777550425049954,0,0,0,0,0,0,0,0,0.0,0.0
1618999770,-4962777550425049954,0,0,0,0,1,98,1,98,0.0,0.0
1618999771,-4962777550425049954,1,98,1,98,1,98,1,98,0.0,0.0
1618999771,-4962777550425049954,1,98,1,98,2,196,1,98,0.0,0.5
1618999772,-4962777550425049954,2,196,1,98,2,196,1,98,0.5,0.5
1618999772,-4962777550425049954,2,196,1,98,3,294,1,98,0.5,0.471
1618999773,-4962777550425049954,3,294,1,98,3,294,1,98,0.471,0.471
1618999773,-4962777550425049954,3,294,1,98,4,392,1,98,0.471,0.433
1618999774,-4962777550425049954,4,392,1,98,4,392,1,98,0.433,0.433
1618999774,-4962777550425049954,4,392,1,98,5,490,1,98,0.433,0.4
1618999775,-4962777550425049954,6,532,2,140,5,490,1,98,0.4,0.4
1618999775,-4962777550425049954,6,532,2,140,7,630,2,140,0.4,0.364
1618999776,-4962777550425049954,7,630,1,98,7,630,2,140,0.364,0.364
1618999776,-4962777550425049954,7,630,1,98,8,728,1,98,0.364,0.354
1618999777,-4962777550425049954,8,728,1,98,8,728,1,98,0.354,0.354
1618999777,-4962777550425049954,8,728,1,98,9,826,1,98,0.354,0.342
1618999778,-4962777550425049954,9,826,1,98,9,826,1,98,0.342,0.342
1618999778,-4962777550425049954,9,826,1,98,10,924,1,98,0.342,0.332
1618999779,-4962777550425049954,10,924,1,98,10,924,1,98,0.332,0.332
1618999779,-4962777550425049954,10,924,1,98,11,1022,1,98,0.332,0.321
1618999780,-4962777550425049954,11,1022,1,98,11,1022,1,98,0.321,0.321
1618999780,-4962777550425049954,11,1022,1,98,12,1120,1,98,0.321,0.312
1618999781,-4962777550425049954,12,1120,1,98,12,1120,1,98,0.312,0.312
1618999781,-4962777550425049954,12,1120,1,98,13,1218,1,98,0.312,0.303
1618999782,-4962777550425049954,13,1218,1,98,13,1218,1,98,0.303,0.303
1618999782,-4962777550425049954,13,1218,1,98,14,1316,1,98,0.303,0.295
1618999783,-4962777550425049954,14,1316,1,98,14,1316,1,98,0.295,0.295
1618999783,-4962777550425049954,14,1316,1,98,15,1414,1,98,0.295,0.287
1618999784,-4962777550425049954,15,1414,1,98,15,1414,1,98,0.287,0.287
1618999784,-4962777550425049954,15,1414,1,98,16,1512,1,98,0.287,0.28
1618999785,-4962777550425049954,16,1512,1,98,16,1512,1,98,0.28,0.28
1618999785,-4962777550425049954,16,1512,1,98,17,1610,1,98,0.28,0.273
1618999786,-4962777550425049954,17,1610,1,98,17,1610,1,98,0.273,0.273
1618999786,-4962777550425049954,17,1610,1,98,18,1708,1,98,0.273,0.266
1618999787,-4962777550425049954,18,1708,1,98,18,1708,1,98,0.266,0.266
1618999787,-4962777550425049954,18,1708,1,98,19,1806,1,98,0.266,0.261
1618999788,-4962777550425049954,19,1806,1,98,19,1806,1,98,0.261,0.261
1618999788,-4962777550425049954,19,1806,1,98,20,1904,1,98,0.261,0.255
1618999789,-4962777550425049954,20,1904,1,98,20,1904,1,98,0.255,0.255
1618999789,-4962777550425049954,20,1904,1,98,21,2002,1,98,0.255,0.25
1618999790,-4962777550425049954,21,2002,1,98,21,2002,1,98,0.25,0.25
1618999790,-4962777550425049954,21,2002,1,98,22,2100,1,98,0.25,0.245
1618999791,-4962777550425049954,22,2100,1,98,22,2100,1,98,0.245,0.245
1618999791,-4962777550425049954,22,2100,1,98,23,2198,1,98,0.245,0.24
